epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1813.84,1.50943,1.47556,1.43834,0.64897,0.66976,0.68494,0.41491,1.4614,1.18673,1.49148,0.00151905,0.00151905,0.00151905
43,1855.59,1.50529,1.47311,1.43905,0.72818,0.59919,0.66705,0.4026,1.45177,1.16767,1.485,0.0014632,0.0014632,0.0014632
44,1896.25,1.49953,1.47062,1.43192,0.71846,0.62455,0.68364,0.41277,1.45131,1.16783,1.48336,0.00140751,0.00140751,0.00140751
45,1937.45,1.49694,1.45492,1.43384,0.72309,0.61037,0.67598,0.40902,1.46032,1.16638,1.48895,0.00135208,0.00135208,0.00135208
46,1978.86,1.49365,1.46264,1.43342,0.70647,0.62062,0.68394,0.4152,1.45306,1.15789,1.4835,0.001297,0.001297,0.001297
47,2020.15,1.4912,1.44821,1.42665,0.71175,0.63094,0.67897,0.41172,1.45786,1.14983,1.48787,0.00124234,0.00124234,0.00124234
48,2061.27,1.48689,1.44213,1.42598,0.69975,0.62541,0.68319,0.41451,1.45571,1.15019,1.48549,0.0011882,0.0011882,0.0011882
49,2102.6,1.49167,1.44153,1.42857,0.71522,0.59914,0.67292,0.40658,1.4462,1.1377,1.48342,0.00113465,0.00113465,0.00113465
50,2144.61,1.48045,1.42677,1.42776,0.70625,0.62386,0.67769,0.40907,1.45143,1.14555,1.48498,0.00108178,0.00108178,0.00108178
51,2187.85,1.48047,1.42719,1.41911,0.64252,0.68469,0.6903,0.41838,1.44918,1.14875,1.48354,0.00102968,0.00102968,0.00102968
52,2231.18,1.47426,1.42086,1.41863,0.72893,0.63978,0.68613,0.41575,1.4444,1.14277,1.48205,0.00097841,0.00097841,0.00097841
53,2273.99,1.4811,1.41901,1.42011,0.67675,0.66027,0.6896,0.41962,1.4423,1.12774,1.47702,0.000928064,0.000928064,0.000928064
54,2315.59,1.47642,1.39281,1.4124,0.70538,0.64977,0.68558,0.41642,1.4451,1.13887,1.47795,0.000878715,0.000878715,0.000878715
55,2357.6,1.47721,1.42356,1.4169,0.72409,0.64508,0.69971,0.42224,1.44215,1.12109,1.47803,0.00083044,0.00083044,0.00083044
56,2398.85,1.46881,1.40218,1.41789,0.67354,0.66557,0.68817,0.42077,1.43888,1.11734,1.47127,0.000783312,0.000783312,0.000783312
57,2440.16,1.46701,1.3926,1.41102,0.73112,0.62855,0.69329,0.4212,1.43729,1.11642,1.47444,0.000737406,0.000737406,0.000737406
58,2481.17,1.4723,1.41576,1.41522,0.71903,0.65015,0.69925,0.43094,1.43309,1.11654,1.46935,0.000692791,0.000692791,0.000692791
59,2522.4,1.45854,1.38129,1.40864,0.65325,0.68727,0.69614,0.42606,1.43589,1.12247,1.47052,0.000649537,0.000649537,0.000649537
60,2563.23,1.4648,1.38748,1.4089,0.71403,0.6484,0.69054,0.4198,1.43613,1.10989,1.46859,0.000607709,0.000607709,0.000607709
61,2606.54,1.46033,1.39529,1.40485,0.71999,0.65802,0.70241,0.42804,1.434,1.11134,1.46741,0.000567373,0.000567373,0.000567373
62,2660.95,1.46579,1.39123,1.40887,0.73748,0.6534,0.71072,0.43398,1.43188,1.09541,1.46755,0.00052859,0.00052859,0.00052859
63,2714.8,1.45642,1.38155,1.40512,0.72186,0.65213,0.70818,0.43055,1.43915,1.09947,1.4723,0.000491421,0.000491421,0.000491421
64,2767.23,1.45592,1.36124,1.39503,0.73061,0.65029,0.71334,0.43065,1.43643,1.10422,1.46383,0.000455923,0.000455923,0.000455923
65,2821.12,1.45799,1.37368,1.39725,0.72827,0.63985,0.70033,0.4277,1.43215,1.09877,1.46574,0.000422151,0.000422151,0.000422151
66,2875.71,1.45134,1.36717,1.40235,0.70043,0.66337,0.69858,0.42757,1.43109,1.09901,1.46352,0.000390156,0.000390156,0.000390156
67,2928.18,1.44617,1.35462,1.38826,0.75197,0.63689,0.70866,0.43204,1.42965,1.091,1.4627,0.000359988,0.000359988,0.000359988
68,2980.42,1.45236,1.37346,1.40133,0.74322,0.64582,0.70865,0.4321,1.4322,1.08586,1.46723,0.000331693,0.000331693,0.000331693
69,3022.67,1.44762,1.3537,1.39632,0.75088,0.63401,0.70694,0.42978,1.42933,1.09248,1.46329,0.000305316,0.000305316,0.000305316
70,3063.32,1.44598,1.35125,1.38841,0.75662,0.6461,0.70979,0.43314,1.42724,1.08499,1.462,0.000280896,0.000280896,0.000280896
71,3102.09,1.42268,1.18867,1.41928,0.70603,0.63712,0.68881,0.41924,1.43521,1.12308,1.46766,0.000258472,0.000258472,0.000258472
72,3139.54,1.41118,1.14406,1.4124,0.73479,0.64107,0.70821,0.43147,1.43494,1.10118,1.46601,0.000238077,0.000238077,0.000238077
73,3179.72,1.41003,1.14306,1.40938,0.72097,0.66149,0.71822,0.44253,1.43006,1.09228,1.46279,0.000219744,0.000219744,0.000219744
74,3217.02,1.40381,1.13042,1.40511,0.74633,0.65054,0.71284,0.43496,1.43103,1.08886,1.46335,0.000203501,0.000203501,0.000203501
75,3254.42,1.39901,1.12119,1.40273,0.71835,0.68007,0.72234,0.44125,1.42966,1.08951,1.46439,0.000189373,0.000189373,0.000189373
76,3291.81,1.40167,1.11649,1.39471,0.75616,0.65184,0.71933,0.44054,1.42942,1.08991,1.46248,0.000177381,0.000177381,0.000177381
77,3329.27,1.39827,1.10856,1.39801,0.74712,0.64921,0.71792,0.43948,1.43029,1.09302,1.46393,0.000167544,0.000167544,0.000167544
78,3366.67,1.39966,1.11378,1.40041,0.74237,0.63902,0.71612,0.43767,1.43011,1.09207,1.46269,0.000159877,0.000159877,0.000159877
79,3403.8,1.39508,1.11424,1.39998,0.74771,0.64978,0.71745,0.44035,1.4271,1.09143,1.46233,0.000154393,0.000154393,0.000154393
80,3453.44,1.39905,1.10955,1.3993,0.75036,0.63467,0.71371,0.43756,1.42766,1.08615,1.45868,0.000151099,0.000151099,0.000151099
